year,platform,count,rating,metacritics
2011,mobile,76,3.056338958180485,76.73917828319885
2011,nintendo DS serie,44,2.0733015873015863,72.8031746031746
2011,nintendo switch,14,3.47214285714286,77.7857142857143
2011,nintendo wii,36,3.0649107142857153,73.4107142857143
2011,other computer,97,3.25882258064516,76.63548387096776
2011,pc,211,2.98962085308057,71.2085308056872
2011,sony PS consoles,135,3.19263157894737,77.11111111111113
2011,sony handheld consoles,21,3.6475,74.60714285714285
2011,xbox serie,144,3.5619117647058802,75.348128342246
2012,mobile,124,2.95223243243243,75.90972972972975
2012,nintendo DS serie,28,2.32928571428571,67.69047619047615
2012,nintendo switch,25,3.5792,78.68
2012,nintendo wii,44,2.9891071428571454,71.29464285714285
2012,other,3,3.135,65.25
2012,other computer,169,3.256646180860405,75.58413813286509
2012,pc,246,3.11158536585366,72.0569105691057
2012,sony PS consoles,173,3.267897441860465,75.32517054263565
2012,sony handheld consoles,41,3.01554054054054,76.02027027027026
2012,xbox serie,162,3.490743284493285,71.9363553113553
2013,mobile,145,3.08035270112709,72.55169063350175
2013,nintendo DS serie,29,2.62455128205128,71.0705128205128
2013,nintendo switch,46,3.63673913043478,76.9130434782609
2013,nintendo wii,48,3.3412222222222203,76.65555555555555
2013,other,3,3.35,77.3333333333333
2013,other computer,261,2.9655912930474333,71.09632878492526
2013,pc,316,3.04518987341772,70.8860759493671
2013,sony PS consoles,219,3.3553344086021517,76.86379928315414
2013,sony handheld consoles,47,2.6989772727272747,76.60227272727275
2013,xbox serie,197,3.55322910041693,76.32312204084518
2014,mobile,150,3.1759145021645,73.5232683982684
2014,nintendo DS serie,23,1.58340909090909,73.3409090909091
2014,nintendo switch,64,3.4859375,76.859375
2014,nintendo wii,37,3.34081081081081,72.4864864864865
2014,other,1,4.04,63.0
2014,other computer,322,2.904236981342245,70.81690336953491
2014,pc,368,2.86315217391304,70.3315217391304
2014,sony PS consoles,243,2.18795325203252,65.14202235772358
2014,sony handheld consoles,38,1.61635135135135,62.75675675675675
2014,xbox serie,203,2.2228254985754963,64.81374643874643
2015,mobile,181,2.9088419583967546,72.9107686453577
2015,nintendo DS serie,18,2.97666666666667,75.8888888888889
2015,nintendo switch,90,3.33188888888889,74.5111111111111
2015,nintendo wii,29,3.02551724137931,70.5862068965517
2015,other computer,405,2.822849730337653,73.49396348269134
2015,pc,441,2.70743764172336,71.1201814058957
2015,sony PS consoles,278,3.645238095238097,75.12301587301586
2015,sony handheld consoles,43,3.8523809523809502,76.4404761904762
2015,xbox serie,214,3.6326573315552166,76.12449990474376
2016,mobile,132,3.23236607142857,75.29910714285715
2016,nintendo DS serie,18,3.3909374999999997,71.0
2016,nintendo switch,121,3.33512396694215,75.1900826446281
2016,nintendo wii,13,3.3966666666666647,69.375
2016,other,4,3.8116666666666648,73.5
2016,other computer,369,2.864600218725315,72.8855033720153
2016,pc,433,2.80406466512702,71.6997690531178
2016,sony PS consoles,294,3.3631516785101696,74.4195376950094
2016,sony handheld consoles,33,3.21909090909091,73.4545454545455
2016,xbox serie,232,3.44134700176367,76.0983245149912
2017,mobile,113,3.111267628205125,76.08974358974355
2017,nintendo DS serie,11,3.58818181818182,76.5454545454545
2017,nintendo switch,146,3.35164383561644,75.3561643835616
2017,nintendo wii,3,3.82333333333333,78.0
2017,other,1,3.57,82.0
2017,other computer,209,3.15326723048508,73.4499530151324
2017,pc,340,2.99108823529412,73.3352941176471
2017,sony PS consoles,254,2.559840163934425,75.4766393442623
2017,sony handheld consoles,13,3.02384615384615,71.6153846153846
2017,xbox serie,198,3.19559649122807,73.96140350877194
2018,mobile,89,3.1247719688542848,74.38681868743045
2018,nintendo DS serie,5,3.346,80.2
2018,nintendo switch,142,3.50788732394366,75.5422535211268
2018,nintendo wii,1,4.47,85.0
2018,other computer,118,3.671986714975845,75.1065821256039
2018,pc,240,3.442,73.925
2018,sony PS consoles,224,2.7783952080042127,78.09886782517115
2018,sony handheld consoles,10,3.9538888888888897,80.33333333333334
2018,xbox serie,182,2.40014050387597,77.45058139534885
2019,mobile,61,3.002080103359175,73.49160206718345
2019,nintendo DS serie,1,0.0,81.0
2019,nintendo switch,157,3.22388535031847,74.3503184713376
2019,other,1,3.77,83.0
2019,other computer,97,3.63950980392157,75.1762371615313
2019,pc,256,3.254453125,73.0078125
2019,sony PS consoles,219,3.117441176470585,74.15980392156865
2019,sony handheld consoles,2,4.24,75.0
2019,xbox serie,192,3.259955858747995,75.73796147672556
2020,mobile,54,2.80917948717949,72.825641025641
2020,nintendo switch,187,2.76711229946524,72.8502673796791
2020,other computer,100,3.151175938489375,74.35866123925825
2020,pc,295,2.87152542372881,72.0847457627119
2020,sony PS consoles,292,3.1605357142857153,75.0904963680387
2020,sony handheld consoles,1,0.0,60.0
2020,xbox serie,268,3.15663027522936,74.57743119266055
2021,mobile,42,1.613169761273205,71.52254641909815
2021,nintendo DS serie,1,4.6,84.0
2021,nintendo switch,213,1.82474178403756,72.8732394366197
2021,other,1,0.0,74.0
2021,other computer,95,2.48297385620915,73.91857298474946
2021,pc,350,2.11808571428571,72.8828571428571
2021,sony PS consoles,373,2.257278521643435,72.8602806309611
2021,sony handheld consoles,2,0.0,64.5
2021,xbox serie,366,2.326519961519965,72.6361231361231
