,id,text,game,cleaned,english,len,sw_removed,stemmed
1017,1.37518142578012e+18,"HELLO HELLO! 

Going live rn for some @ForzaHorizon and then around 6pm CST we will switch to some IRP! See you in there! â¤ï¸ 

https://t.co/q5oLGkCUrS https://t.co/4VoQWedl7H",ForzaHorizon5,hello hello going live rn for some forzahorizon and then around pm cst we will switch to some irp see you in there https t co q olgkcurs https t co voqwedl h,hello hello going live for some and then around we will switch to some see you in there t q t h,22,hello hello going live around switch see,hello hello go live around switch see
1019,1.37476260529904e+18,"Ford Super Deluxe

@sceptreco @Ford @FordPerformance @ForzaHorizon @ForzaMotorsport @ForzaShoutouts @Forzashare_ @PTGforza @GhostArts_VCP @FTCentral_ #Virtualphotography #Ford #Forza #ForzaHorizon4 #photooftheday #PhotoMode https://t.co/wdEwhhBwG2",ForzaHorizon5,ford super deluxe sceptreco ford fordperformance forzahorizon forzamotorsport forzashoutouts forzashare ptgforza ghostarts vcp ftcentral virtualphotography ford forza forzahorizon photooftheday photomode https t co wdewhhbwg,ford super deluxe ford ford t,6,ford super deluxe ford ford,ford super delux ford ford
1021,1.37336414092913e+18,"My entry for the PTG Nature Calling contest.

File: Gator TVR
SC: 593 530 378
Car: 2018 TVR GRIFFITH 
GT: Hotrod King87 

@ForzaHorizon @forzahorizon4 @forzahorizon_world @forza_dailyy @forzashare_  #forzahorizon4 #forzashare #forzahorizon #nature #alligator @tvrofficial https://t.co/geEvr4zkzn",ForzaHorizon5,my entry for the ptg nature calling contest file gator tvr sc car tvr griffith gt hotrod king forzahorizon forzahorizon forzahorizon world forza dailyy forzashare forzahorizon forzashare forzahorizon nature alligator tvrofficial https t co geevr zkzn,my entry for the nature calling contest file gator car king world nature alligator t,15,entry nature calling contest file gator car king world nature alligator,entri natur call contest file gator car king world natur allig
1025,1.37192916991181e+18,@ForzaHorizon I get to drive my dream cars  https://t.co/abmA2rrvVQ,ForzaHorizon5,forzahorizon i get to drive my dream cars https t co abma rrvvq,i get to drive my dream t,7,get drive dream,get drive dream
1026,1.37192478177221e+18,"@ForzaHorizon Horizon is an awesome racing game, but to me it's a car collection game. I love collecting all the rare cars.",ForzaHorizon5,forzahorizon horizon is an awesome racing game but to me it s a car collection game i love collecting all the rare cars,horizon is an awesome racing game but to me it s a car collection game i love all the rare,20,horizon awesome racing car collection love rare,horizon awesom race car collect love rare
1027,1.37191821554739e+18,@ForzaHorizon Being able to cruise around with some friends during winter and enjoy the beautiful scenery in 4k with hdr.,ForzaHorizon5,forzahorizon being able to cruise around with some friends during winter and enjoy the beautiful scenery in k with hdr,being able to cruise around with some during winter and enjoy the beautiful scenery in k with,17,able cruise around winter enjoy beautiful scenery,abl cruis around winter enjoy beauti sceneri
1030,1.37186154624727e+18,@ForzaHorizon Iâ€™ll give you my entire stimulus if you guys will just add more body kit options in Horizon 4,ForzaHorizon5,forzahorizon i ll give you my entire stimulus if you guys will just add more body kit options in horizon,i give you my entire stimulus if you will just add more body kit in horizon,16,give entire stimulus add body kit horizon,give entir stimulu add bodi kit horizon
1031,1.37183864872386e+18,"Excited to kick this series of content off.

Focusing on featuring different IPs (starting with @ForzaHorizon 4) and the next-gen features each game supports on #XboxSeriesS 
#PowerYourDreams https://t.co/7ybLrag2PV",ForzaHorizon5,excited to kick this series of content off focusing on featuring different ips starting with forzahorizon and the next gen features each game supports on xboxseriess poweryourdreams https t co yblrag pv,excited to kick this series of content off on different starting with and the next gen each game on t,20,excited kick series content different starting next gen,excit kick seri content differ start next gen
1033,1.3714792965655e+18,"Current standings at the moment. Stop by the Facebook page and join the fun. 

Link: https://t.co/iTQQ4widXi

@ForzaHorizon @DailyForza @forzaworld @ForzahorizonW #kingofthetrack #KOTT #forzahorizon4 #forza #forzahorizon #forzashare #forzafreaks @WeArePlayground @ForzaDaily https://t.co/ImRy7xG1H5",ForzaHorizon5,current standings at the moment stop by the facebook page and join the fun link https t co itqq widxi forzahorizon dailyforza forzaworld forzahorizonw kingofthetrack kott forzahorizon forza forzahorizon forzashare forzafreaks weareplayground forzadaily https t co imry xg h,current at the moment stop by the page and join the fun link t t h,16,current moment stop page join fun link,current moment stop page join fun link
1034,1.37120522085692e+18,"File: INGEN GTR
GT: Hotrod King87 
Car: 2012 GTR-35 black edition 
SC: 914 136 103
@ForzahorizonW @ForzaHorizon @forzashare_ #forzahorizon4 #forzaphotography #forzahorizon #forzaphotos @InjenTechnology @Nissan @NissanUSA #customwrap #customwraps #wrapped #wraps #carwrap #carwraps https://t.co/ukQtMGoaqn",ForzaHorizon5,file ingen gtr gt hotrod king car gtr black edition sc forzahorizonw forzahorizon forzashare forzahorizon forzaphotography forzahorizon forzaphotos injentechnology nissan nissanusa customwrap customwraps wrapped wraps carwrap carwraps https t co ukqtmgoaqn,file king car black edition wrapped t,7,file king car black edition wrapped,file king car black edit wrap
1035,1.37119013386157e+18,I can't wait to get my hands on the new wireless headset @Xbox @XboxGamePass @XboxP3 @ForzaHorizon,ForzaHorizon5,i can t wait to get my hands on the new wireless headset xbox xboxgamepass xboxp forzahorizon,i can t wait to get my on the new wireless headset,12,wait get new wireless headset,wait get new wireless headset
1039,1.37019906859775e+18,My oldestâ€™s creativity always blows my mind away. He created a @Duracell limo in his @ForzaHorizon game. https://t.co/AEd8AnZPhh,ForzaHorizon5,my oldest s creativity always blows my mind away he created a duracell limo in his forzahorizon game https t co aed anzphh,my s creativity always my mind away he a in his game t,13,creativity always mind away,creativ alway mind away
1040,1.37017025196341e+18,Is it me or is @ForzaHorizon 4 looking different  #ForzaHorizon4,ForzaHorizon5,is it me or is forzahorizon looking different forzahorizon,is it me or is looking different,7,looking different,look differ
1041,1.37016924699135e+18,"Can the next #ForzaHorizon please be in tokyo, japan ? @ForzaHorizon",ForzaHorizon5,can the next forzahorizon please be in tokyo japan forzahorizon,can the next please be in japan,7,next please japan,next pleas japan
1044,1.37007314533233e+18,@derbee02 @ForzaHorizon streams. Working on the famous part though and it was more than a couple  https://t.co/OYCZ0ffNQG,ForzaHorizon5,derbee forzahorizon streams working on the famous part though and it was more than a couple https t co oycz ffnqg,working on the famous part though and it was more than a couple t,14,working famous part though couple,work famou part though coupl
1047,1.36931013927103e+18,"Rest In Peace Carroll Shelby (1/11/1923 to 5/10/2012)

File: Terlingua 1000
Car: Shelby 1000
GT: Hotrod King87 
SC: 859 364 676

Car: 2020 Shelby GT500
File: Terlingua GT500
GT: Hotrod King87 
SC: 163 313 439
@ForzaHorizon @forzahorizon4 @ForzaWorld @carroll_racing #forzahorizon4 https://t.co/RAftUc9cgu",ForzaHorizon5,rest in peace carroll shelby to file terlingua car shelby gt hotrod king sc car shelby gt file terlingua gt gt hotrod king sc forzahorizon forzahorizon forzaworld carroll racing forzahorizon https t co raftuc cgu,rest in peace to file car king car file king racing t,12,rest peace file car king car file king racing,rest peac file car king car file king race
1048,1.36897861244396e+18,Forza Horizon is one of my favorite racing franchises! Def check it out when it drops on Steam if you haven't played it yet. https://t.co/zIxT9a3myK,ForzaHorizon5,forza horizon is one of my favorite racing franchises def check it out when it drops on steam if you haven t played it yet https t co zixt a myk,horizon is one of my favorite racing check it out when it on steam if you haven t it yet t a,22,horizon one favorite racing check steam yet,horizon one favorit race check steam yet
1049,1.3687812463823e+18,"Iâ€™ll always love the Exocet Off-road! One of my favorite cars in Forza!
#MiataIsAlwaysTheAnswer
#MudKickin

@Exomotive 
@ForzaHorizon 
@WeArePlayground https://t.co/BlarodntZl",ForzaHorizon5,i ll always love the exocet off road one of my favorite cars in forza miataisalwaystheanswer mudkickin exomotive forzahorizon weareplayground https t co blarodntzl,i always love the off road one of my favorite in t,12,always love road one favorite,alway love road one favorit
1050,1.36877819108363e+18,"Rest In Peace Carroll Shelby (1/11/1923 to 5/10/2012)

File: Terlingua 1000
Car: Shelby 1000
GT: Hotrod King87 
SC: 859 364 676

@ForzaHorizon @ForzahorizonW @forzaworld @_carrollshelby @CarrollShelby @ShelbyAmerican #forzahorizon4 #terlingua @Ford @FordPerformance https://t.co/gCPuu14oFH",ForzaHorizon5,rest in peace carroll shelby to file terlingua car shelby gt hotrod king sc forzahorizon forzahorizonw forzaworld carrollshelby carrollshelby shelbyamerican forzahorizon terlingua ford fordperformance https t co gcpuu ofh,rest in peace to file car king ford t,9,rest peace file car king ford,rest peac file car king ford
1051,1.36859140365209e+18,"Gran turismo @SEMASHOW @HPAMotorsports R32 available now.

File: HPA R32
GT: Hotrod King87 
SC: 814 904 300

@ForzaHorizon @forzashare_ @ForzahorizonW @ForzaWorld #forzahorizon4 #forzaphotography #forzashare #forzahorizon #forzafreaks #granturismo #hpamotorsports #volkswagen https://t.co/kKK7hrqWNv",ForzaHorizon5,gran turismo semashow hpamotorsports r available now file hpa r gt hotrod king sc forzahorizon forzashare forzahorizonw forzaworld forzahorizon forzaphotography forzashare forzahorizon forzafreaks granturismo hpamotorsports volkswagen https t co kkk hrqwnv,r available now file r king t,7,available file king,avail file king
1052,1.36827394288507e+18,@traxiongg @ForzaHorizon The @Halo is the best one by far...like...not even close.,ForzaHorizon5,traxiongg forzahorizon the halo is the best one by far like not even close,the halo is the best one by far like not even close,12,halo best one far like even close,halo best one far like even close
1053,1.36821462609843e+18,"Redone my @Ford heritage edition GT now shared.

GT: Hotrod King87 
File: heritage ED
SC: 697 150 228

@FordPerformance @ForzaHorizon @ForzahorizonW @Forzashare_ @forzaworld #ford #fordperformance #forzahorizon4 #forza #forzaphotos #forzahorizon #forzalivery #heritage https://t.co/O5aBl4aGcM",ForzaHorizon5,redone my ford heritage edition gt now shared gt hotrod king file heritage ed sc fordperformance forzahorizon forzahorizonw forzashare forzaworld ford fordperformance forzahorizon forza forzaphotos forzahorizon forzalivery heritage https t co o abl agcm,my ford heritage edition now king file heritage ford heritage t o,12,ford heritage edition king file heritage ford heritage,ford heritag edit king file heritag ford heritag
1054,1.3679460948025e+18,"You all knew this was coming lol.

File: flamed 1000
SC: 647 303 049

@ForzaHorizon @Forzashare_ @ForzahorizonW @ShelbyAmerican #forzahorizon4 #forza #forzashare #forzahorizon #forzashots #forzaphotos #forzafreaks #forzalivery #ford #flames #flamed #hotrod #hotrods https://t.co/4LLWhvX8pS",ForzaHorizon5,you all knew this was coming lol file flamed sc forzahorizon forzashare forzahorizonw shelbyamerican forzahorizon forza forzashare forzahorizon forzashots forzaphotos forzafreaks forzalivery ford flames flamed hotrod hotrods https t co llwhvx ps,you all knew this was coming file flamed ford flamed t,11,knew coming file flamed ford flamed,knew come file flame ford flame
1055,1.36693522757944e+18,"Follow me on twitch this weekend to see me tackle the Battle of the Beasts (KOTT) in Forza Horizon 4. Facebook page: Forza Horizon 4 (King of the Track).
Iâ€™ll be driving all 3 vehicles(Camaro ZL1, Dodge Demon, and the 2020 Shelby GT500)
@ForzahorizonW @ForzaHorizon #Forzahorizon4 https://t.co/vDesdbBJ3F",ForzaHorizon5,follow me on twitch this weekend to see me tackle the battle of the beasts kott in forza horizon facebook page forza horizon king of the track i ll be driving all vehicles camaro zl dodge demon and the shelby gt forzahorizonw forzahorizon forzahorizon https t co vdesdbbj f,follow me on twitch this weekend to see me tackle the battle of the in horizon page horizon king of the track i be driving all dodge demon and the t f,32,follow twitch weekend see tackle battle horizon page horizon king track driving dodge demon,follow twitch weekend see tackl battl horizon page horizon king track drive dodg demon
1057,1.36623673069781e+18,My nephew and niece visit me today. Playing @Xbox @XboxGamePass @ForzaHorizon  @TMThrustmaster https://t.co/76s89dSiiJ,ForzaHorizon5,my nephew and niece visit me today playing xbox xboxgamepass forzahorizon tmthrustmaster https t co s dsiij,my nephew and niece visit me today t s,9,nephew niece visit today,nephew niec visit today
1058,1.36576742657126e+18,@DonJoewonSong @Xbox @ForzaHorizon Youâ€™re not a human being. My God.,ForzaHorizon5,donjoewonsong xbox forzahorizon you re not a human being my god,you re not a human being my god,8,human god,human god
1060,1.36478980550734e+18,"@ForzaHorizon hey I have a question, whoever has access to the FH4 acct. What car would you want to add to Forza Horizon 4 if you were able to?",ForzaHorizon5,forzahorizon hey i have a question whoever has access to the fh acct what car would you want to add to forza horizon if you were able to,hey i have a question whoever access to the what car would you want to add to horizon if you were able to,23,hey question whoever access car would want add horizon able,hey question whoever access car would want add horizon abl
1061,1.3647020187036e+18,"Anyone looking for fun competition then clink the link https://t.co/iTQQ4widXi

#ForzaHorizon4 @ForzaHorizon @WeArePlayground #forzahorizon4 #XboxShare @ForzaHorizon4U1 @ForzaWorld",ForzaHorizon5,anyone looking for fun competition then clink the link https t co itqq widxi forzahorizon forzahorizon weareplayground forzahorizon xboxshare forzahorizon u forzaworld,anyone looking for fun competition then clink the link t u,11,anyone looking fun competition clink link,anyon look fun competit clink link
1065,1.36432766144782e+18,@ForzaHorizon4U1 @ForzaHorizon @Turn10Studios @WeArePlayground @johniwanna @ConnerSpeed6 @graham641 @XRcosworth @_xKarakurTx_ @CCOCAS2 @stuzib85 @For_Fox_Ache @NasserHomsi @ForzaShoutouts https://t.co/BZYIFJ1633,ForzaHorizon5,forzahorizon u forzahorizon turn studios weareplayground johniwanna connerspeed graham xrcosworth xkarakurtx ccocas stuzib for fox ache nasserhomsi forzashoutouts https t co bzyifj,u turn graham for fox ache t,7,turn graham fox ache,turn graham fox ach
1066,1.36402471710405e+18,@RStokees @DominicPembrook @ForzaHorizon @Hot_Wheels A bit uppity aren't we?,ForzaHorizon5,rstokees dominicpembrook forzahorizon hot wheels a bit uppity aren t we,hot a bit uppity t we,6,hot bit uppity,hot bit uppiti
1067,1.36398062919347e+18,@RStokees @DominicPembrook @ForzaHorizon @Hot_Wheels Didn't stop them from being in previous Forzas.,ForzaHorizon5,rstokees dominicpembrook forzahorizon hot wheels didn t stop them from being in previous forzas,hot t stop them from being in previous,8,hot stop previous,hot stop previou
1068,1.36398042860089e+18,"@TTalby71 @Didistutter492 @TheKing94682848 @JamesBarowik @ForzaHorizon @Hot_Wheels Technically they don't want it for free, they want it included with what they already purchased.",ForzaHorizon5,ttalby didistutter theking jamesbarowik forzahorizon hot wheels technically they don t want it for free they want it included with what they already purchased,hot technically they don t want it for free they want it included with what they already,17,hot technically want free want included already,hot technic want free want includ alreadi
1070,1.36391742689584e+18,"@BinDaslog9 @Nicegroundhog_ @YouTubeGaming @YouTube @drinkbai @ForzaHorizon @Codemasters @GTOmegaRacing @YouTubeCreators @WeArePlayground Because you are attempting tonpromote yourself on aomeone elses posts. Stop. Put in the work, and then maybe you'll get subscribers",ForzaHorizon5,bindaslog nicegroundhog youtubegaming youtube drinkbai forzahorizon codemasters gtomegaracing youtubecreators weareplayground because you are attempting tonpromote yourself on aomeone elses posts stop put in the work and then maybe you ll get subscribers,because you are yourself on stop put in the work and then maybe you get,15,stop put work maybe get,stop put work mayb get
1074,1.36322367720719e+18,@FTCHooper @YouTubeGaming @YouTube @drinkbai @ForzaHorizon @Codemasters @GTOmegaRacing @YouTubeCreators @WeArePlayground Thank you so much. You need to reply to me on Discord!!!!! Really hoping you are doing ok,ForzaHorizon5,ftchooper youtubegaming youtube drinkbai forzahorizon codemasters gtomegaracing youtubecreators weareplayground thank you so much you need to reply to me on discord really hoping you are doing ok,thank you so much you need to reply to me on discord really you are doing,16,thank much need reply discord really,thank much need repli discord realli
1081,1.3631760757995e+18,@robi4tv @YouTubeGaming @YouTube @drinkbai @ForzaHorizon @Codemasters @GTOmegaRacing @YouTubeCreators @WeArePlayground Thank you so so much for everything!!!,ForzaHorizon5,robi tv youtubegaming youtube drinkbai forzahorizon codemasters gtomegaracing youtubecreators weareplayground thank you so so much for everything,thank you so so much for everything,7,thank much everything,thank much everyth
1086,1.36315724110124e+18,"@WildViper009 @YouTubeGaming @YouTube @drinkbai @ForzaHorizon @Codemasters @GTOmegaRacing @YouTubeCreators @WeArePlayground 10K will be here in no time, bruv â¤ thank you!",ForzaHorizon5,wildviper youtubegaming youtube drinkbai forzahorizon codemasters gtomegaracing youtubecreators weareplayground k will be here in no time bruv thank you,k will be here in no time thank you,9,time thank,time thank
1088,1.36292857679494e+18,@Jazz_Cruiser @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong Let's go!,ForzaHorizon5,jazz cruiser forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong let s go,jazz cruiser u ar nick let s go,8,jazz cruiser ar nick let go,jazz cruiser ar nick let go
1089,1.36292851185033e+18,@Jazz_Cruiser @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong And be as long as we wanted it to be!!!!!!!!! ,ForzaHorizon5,jazz cruiser forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong and be as long as we wanted it to be,jazz cruiser u ar nick and be as long as we it to be,14,jazz cruiser ar nick long,jazz cruiser ar nick long
1091,1.36290783125562e+18,@pgosch86 @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong Dude... It's the new OP A Class Cross Country vehicle! ,ForzaHorizon5,pgosch forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong dude it s the new op a class cross country vehicle,u ar nick dude it s the new a class cross country vehicle,13,ar nick dude new class cross country vehicle,ar nick dude new class cross countri vehicl
1092,1.36289108679297e+18,@spidy123great @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong They did? â€â™‚ï¸,ForzaHorizon5,spidy great forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong they did,great u ar nick they did,6,great ar nick,great ar nick
1093,1.36287645654466e+18,@osimear @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong WHAT?!?!?! You can find Horizon 2 discs on Ebay. Not sure about Horizon 1 though. I have it on my xbox digitally as backwards compatible.,ForzaHorizon5,osimear forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong what you can find horizon discs on ebay not sure about horizon though i have it on my xbox digitally as backwards compatible,u ar nick what you can find horizon on not sure about horizon though i have it on my digitally as backwards compatible,23,ar nick find horizon sure horizon though digitally backwards compatible,ar nick find horizon sure horizon though digit backward compat
1096,1.36287541408813e+18,"@osimear @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong I'm telling you. 

Best horizon game YET!",ForzaHorizon5,osimear forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong i m telling you best horizon game yet,u ar nick i m telling you best horizon game yet,11,ar nick telling best horizon yet,ar nick tell best horizon yet
1097,1.36287493762786e+18,@DJHarrisonFB @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong Ummm. YES. It's happening!!!!!,ForzaHorizon5,djharrisonfb forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong ummm yes it s happening,u ar nick yes it s happening,7,ar nick yes happening,ar nick ye happen
1098,1.36287485700068e+18,@osimear @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong Offroading and cross country be INSANE!!!,ForzaHorizon5,osimear forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong offroading and cross country be insane,u ar nick and cross country be insane,8,ar nick cross country insane,ar nick cross countri insan
1099,1.3628727332149e+18,"@MarkFowler1985 @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong Yeah, man. What can I say? We're just THAT lucky!",ForzaHorizon5,markfowler forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong yeah man what can i say we re just that lucky,u ar nick yeah man what can i say we re just that lucky,14,ar nick yeah man say lucky,ar nick yeah man say lucki
1100,1.36286952960971e+18,"@robotdude_60 @TurboReiji @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong @therealrazu Bruh...

Mars map would be the truth",ForzaHorizon5,robotdude turboreiji forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong therealrazu bruh mars map would be the truth,u ar nick map would be the truth,8,ar nick map would truth,ar nick map would truth
1101,1.36286939056428e+18,"@Gamer06Motor @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong 5 out of 5, would recommend 
â­â­â­â­â­",ForzaHorizon5,gamer motor forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong out of would recommend,motor u ar nick out of would recommend,8,motor ar nick would recommend,motor ar nick would recommend
1103,1.36284160063697e+18,@TurboReiji @ForzaMotorsport @ForzaHorizon @NASA @ForzaHorizon4U1 @NASAPersevere @Merginator @AR12_Nick @RealBajnes @WeArePlayground @DonJoewonSong @therealrazu Gutsy move by the team ,ForzaHorizon5,turboreiji forzamotorsport forzahorizon nasa forzahorizon u nasapersevere merginator ar nick realbajnes weareplayground donjoewonsong therealrazu gutsy move by the team,u ar nick move by the team,7,ar nick move team,ar nick move team
1105,1.36273199885969e+18,"@irwill777 @Brokenvegetable @RealBajnes @robi4tv @FCB_GRIZZLY @Drcolabottle @yarrokon @ForzaHorizon @WeArePlayground Ha! I feel you there! We gotta pay the bills though, right?!",ForzaHorizon5,irwill brokenvegetable realbajnes robi tv fcb grizzly drcolabottle yarrokon forzahorizon weareplayground ha i feel you there we gotta pay the bills though right,grizzly ha i feel you there we pay the though right,11,grizzly ha feel pay though right,grizzli ha feel pay though right
1106,1.36271137961503e+18,@ForzaHorizon when you guys do bring the mark5 supra in the game you should work with @tjhunt_  for the wide body its insane,ForzaHorizon5,forzahorizon when you guys do bring the mark supra in the game you should work with tjhunt for the wide body its insane,when you do bring the mark in the game you should work with for the wide body its insane,19,bring mark work wide body insane,bring mark work wide bodi insan
1107,1.36271064175734e+18,@ForzaHorizon when will the mark5 supra be coming and what update caint wait for it to come out,ForzaHorizon5,forzahorizon when will the mark supra be coming and what update caint wait for it to come out,when will the mark be coming and what update wait for it to come out,15,mark coming update wait come,mark come updat wait come
1109,1.36247851081258e+18,@DJKustoms @ForzaHorizon Oh your on Mixer?! ME TOO!,ForzaHorizon5,djkustoms forzahorizon oh your on mixer me too,oh your on mixer me too,6,oh mixer,oh mixer
1112,1.36210239043085e+18,@RallyzX360 @TannerFoust @kblock43 @WeArePlayground @ForzaHorizon @ForzaLiveryGuy I asked about this paint a couple weeks ago and you freaking delivered! ,ForzaHorizon5,rallyzx tannerfoust kblock weareplayground forzahorizon forzaliveryguy i asked about this paint a couple weeks ago and you freaking delivered,i about this paint a couple ago and you,9,paint couple ago,paint coupl ago
1113,1.36210123453097e+18,"@RallyzX360 @TannerFoust @kblock43 @WeArePlayground @ForzaHorizon @ForzaLiveryGuy Oh damn!!! I didn't know you were going to do it!

This shall be put to good use ",ForzaHorizon5,rallyzx tannerfoust kblock weareplayground forzahorizon forzaliveryguy oh damn i didn t know you were going to do it this shall be put to good use,oh damn i t know you were going to do it this shall be put to good use,18,oh damn know going shall put good use,oh damn know go shall put good use
1117,1.36183411246671e+18,"@irwill777 @Brokenvegetable @RealBajnes @robi4tv @FCB_GRIZZLY @Drcolabottle @yarrokon @ForzaHorizon @WeArePlayground Same! Thanks, brotha. Hope the job is going well for you ",ForzaHorizon5,irwill brokenvegetable realbajnes robi tv fcb grizzly drcolabottle yarrokon forzahorizon weareplayground same thanks brotha hope the job is going well for you,grizzly same thanks hope the job is going well for you,11,grizzly thanks hope job going well,grizzli thank hope job go well
1122,1.361507941573e+18,@ForzaHorizon letâ€™s see what you think!,ForzaHorizon5,forzahorizon let s see what you think,let s see what you think,6,let see think,let see think
1124,1.36138344545747e+18,"I put together a list of the 10 Best Vehicles for Cross Country Racing in B, A, &amp; S1 Classes on Forza Horizon 4!
@ForzaHorizon #Retweet #Subscribe #follow

https://t.co/Ib2RCI2ELj https://t.co/lWu6pizPfb",ForzaHorizon5,i put together a list of the best vehicles for cross country racing in b a amp s classes on forza horizon forzahorizon retweet subscribe follow https t co ib rci elj https t co lwu pizpfb,i put together a list of the best for cross country racing in b a s classes on horizon subscribe follow t t,23,put together list best cross country racing classes horizon subscribe follow,put togeth list best cross countri race class horizon subscrib follow
1128,1.36110130367451e+18,"Seen this today had to paint it Iâ€™m the 3rd person to paint it but I believe most accurate.

File: Dragon Snake
Car: 2020 GT500
SC: 119 962 331

@ForzaHorizon @forzaphotos @forzaworld @FordPerformance #forzaphotography #forzahorizon #fordperformance @Ford https://t.co/RFv7O0keOe",ForzaHorizon5,seen this today had to paint it i m the rd person to paint it but i believe most accurate file dragon snake car gt sc forzahorizon forzaphotos forzaworld fordperformance forzaphotography forzahorizon fordperformance ford https t co rfv o keoe,seen this today had to paint it i m the person to paint it but i believe most accurate file dragon snake car ford t o,26,seen today paint person paint believe accurate file dragon snake car ford,seen today paint person paint believ accur file dragon snake car ford
1129,1.36078388544594e+18,"Was a pain to convert an make happen but itâ€™s available 

File: flamed coupe
Car: Ford coupe 
SC: 271 887 973

@ForzaHorizon @forzahorizonation @forzaworld  @hotrodmagazine @hotrodgarageshow #ForzaHorizon4 #forzashare #forzahorizon #forzashots #forzapainter #hotrod #ford #flames https://t.co/wbMeAbvWeI",ForzaHorizon5,was a pain to convert an make happen but it s available file flamed coupe car ford coupe sc forzahorizon forzahorizonation forzaworld hotrodmagazine hotrodgarageshow forzahorizon forzashare forzahorizon forzashots forzapainter hotrod ford flames https t co wbmeabvwei,was a pain to convert an make happen but it s available file flamed coupe car ford coupe ford t,20,pain convert make happen available file flamed coupe car ford coupe ford,pain convert make happen avail file flame coup car ford coup ford
1131,1.36066569796632e+18,"@Im_JustJim @ForzaHorizon @forza_support I always have the radio off, and the music volume down. However, I turned on streamer mode and it is supposed to play no copyright music. It did not...",ForzaHorizon5,im justjim forzahorizon forza support i always have the radio off and the music volume down however i turned on streamer mode and it is supposed to play no copyright music it did not,support i always have the radio off and the music volume down however i turned on streamer mode and it is supposed to play no copyright music it did not,30,support always radio music volume however turned streamer mode supposed copyright music,support alway radio music volum howev turn streamer mode suppos copyright music
1132,1.36065632440984e+18,"Lol... This is with streamer mode ON from my 4 hour stream last night... 

@ForzaHorizon @forza_support why is there a ""Streamer Mode"" option, if ehen we use it, we still get copyright claims on our streams and videos? â€â™‚ï¸

Just makes no sense. Honestly... https://t.co/lEMlKwDHRR",ForzaHorizon5,lol this is with streamer mode on from my hour stream last night forzahorizon forza support why is there a streamer mode option if ehen we use it we still get copyright claims on our streams and videos just makes no sense honestly https t co lemlkwdhrr,this is with streamer mode on from my hour stream last night support why is there a streamer mode option if we use it we still get copyright on our and just no sense honestly t,36,streamer mode hour stream last night support streamer mode option use still get copyright sense honestly,streamer mode hour stream last night support streamer mode option use still get copyright sens honestli
